text,aspect,sentiment
rasa makanan perlu tingkatkan,sarapan,negatif
pintu masuk dekat lampu_merah sulit masuknya,lokasi,negatif
fasilitas ruang_rapat oke,fasilitas,positif
hanya ada fasilitas water sport,fasilitas,negatif
fasilitas tidak_termasuk harga kamar,harga,negatif
ac air_panas berfungsi baik,kamar,positif
sarapan anak disuruh bayar,harga,negatif
ada smooking_room,kamar,positif
tidak_layak_pakai warna pudar tidak_nyaman dilihat dipakai,kamar,negatif
pengantaran koper terlalu lama,pelayanan,negatif
harga murah masuk akal,harga,positif
ramah pengunjung,pelayanan,positif
alat lengkap hair_dryer setrika hangar tergantung rapi,kamar,positif
menu variasi,sarapan,positif
ada salad segar,sarapan,positif
sarapan hanya nasgor teh,sarapan,negatif
hotel baru,fasilitas,positif
kasur bunyi,kamar,negatif
sprei lengket jorok seperti bekas tamu pijat tidak_diganti,kamar,negatif
sarapan banyak habis,sarapan,negatif
fasilitas wifi suka macet,fasilitas,negatif
pelayanan sopan ramah,pelayanan,positif
lokasi dekat hartono_mall,lokasi,positif
gratis makanan,harga,positif
tv kabel tidak_ada,kamar,negatif
taman berasa eropa,fasilitas,positif
ada playground taman jalan_jalan lengkap,fasilitas,positif
pegawai sigap menuangkan minuman,pelayanan,positif
lokasi strategis daerah kuta mudah cari tempat_makan musli depan hotel,lokasi,positif
akses menuju hotel jauh harus memutar,lokasi,negatif
harga cocok menginap istirahat,harga,positif
layanan buruk,pelayanan,negatif
mesin_cuci bisa digunakan ac dingin,kamar,positif
nyaman cocok terhindar keramaian,lokasi,positif
tidak_ada lift khusus barang,fasilitas,negatif
sajian bbq enak,sarapan,positif
air_panas berfungsi baik,kamar,positif
dekat kemana_mana euphoria bali,lokasi,positif
rooftop cafe nyaman,sarapan,positif
suasana sepi nyaman membuat betah,lokasi,positif
lobi hotel luas,fasilitas,positif
lokasi enak sepi sunyi,lokasi,positif
air_kemasan gratis,harga,positif
lokasi sulit ditemukan pendatang menggunakan transportasi umum,lokasi,negatif
air_mineral botol bayar,harga,negatif
kamar tidak_sesuai pesanan,pelayanan,negatif
fasilitas nomor satu bisa naik kuda,fasilitas,positif
akses mudah fasilitas publik,lokasi,positif
harga tidak_termasuk pajak pelayanan,harga,negatif
ada kebijakan ada masalah jangan_membuat customer kecewa,pelayanan,negatif
interior klasik,fasilitas,positif
amenities tidak_lengkap,kamar,negatif
mobil innova tidak_bisa masuk,lokasi,negatif
kamar indah menyejukkan,kamar,positif
satpam bisa lebih sopan tamu,pelayanan,negatif
coba tolak_angin eskrim,sarapan,positif
cocok pelancong membutuhkan akomodasi harga rendah,harga,positif
hotel bangunan luar tampak klasik,fasilitas,positif
kekurangan lokasi sulit dijangkau,lokasi,negatif
akses masuk hotel sulit posisi tikungan,lokasi,negatif
pelayanan sekali telpon langsung datang,pelayanan,positif
makanan diambil aman pandemi,sarapan,positif
dessert tidak_segar pudding rasa hambar,sarapan,negatif
balkon langsung bisa lihat baik pemandangan,kamar,positif
pihak resto memberi pelayanan terbaik tidak_mengecewakan,pelayanan,negatif
lokasi cukup enak,lokasi,positif
ada sky bar cafe menikmati petang jogja alunan live_music,fasilitas,positif
sarapan tidak_ada,sarapan,negatif
menu makanan tidak_selera dapat sisa sedikit,sarapan,negatif
kamar minimalis,kamar,positif
dapat fasilitas gratis upgrade_kamar,harga,positif
harga fantastis ekonomis bersahabat,harga,positif
saluran_tv tidak_lengkap,kamar,negatif
handuk ada tambahan_biaya,harga,negatif
pelayanan prokes baik,pelayanan,positif
rekomendasi backpacker,harga,positif
suasana sepi terkesan horor,lokasi,negatif
ada penjemputan bandara,pelayanan,positif
cicip menu pizza baru barista enak,sarapan,positif
parkir masih dipungut harga,harga,negatif
pembatasan jumlah pengunjung kolam_renang,fasilitas,negatif
dekat malioboro dekat gudeg yudjum,lokasi,positif
harga terjangkau kantong,harga,positif
harga aplikasi tidak_sesuai,harga,negatif
menu membakar lebih sedikit mentah,sarapan,negatif
tempat_parkir sulit terbatas,fasilitas,negatif
rooftop asik nongkrong,fasilitas,positif
lokasi atas jauh pusat,lokasi,negatif
interior hotel mewah menggunakan marmet lampu kristal,fasilitas,positif
tempat olahraga bersih lengkap,fasilitas,positif
kamar bersih air_hangat berfungsi baik,kamar,positif
jauh kawasan padat lalu_lintas tenang,lokasi,positif
ada staff galak,pelayanan,negatif
relatif jauh atm minimarket,lokasi,negatif
harga sesuai hotel bintang_lima tengah jogja,harga,positif
ramadhan disediakan makan sahur,sarapan,positif
air shower deras jernih,kamar,positif
menu kurang,sarapan,negatif
pelayanan profesional,pelayanan,positif
kamar rapi,kamar,positif
akses jalan menuju lokasi jalan_utama sempit hanya muat satu mobil,lokasi,negatif
minum sudah habis,sarapan,negatif
pelayanan cepat diantar,pelayanan,positif
sulit urusan uang harus ada jaminan,harga,negatif
kolam_renang banyak daun,fasilitas,negatif
makanan enak banyak pilihan lengkap appertizer hingga dessert,sarapan,positif
tidak_tanggap layani tamu,pelayanan,negatif
lokasi sunyi,lokasi,positif
sinyal lemah kamar,fasilitas,negatif
terbangun suara musik lantai bawah keras,fasilitas,negatif
handuk tidak_ada harus sewa,harga,negatif
hotel letak strategis pusat_kota,lokasi,positif
rekomendasi pelancong backpacker,harga,positif
sarapan bisa buat roti_bakar sendiri,sarapan,positif
lokasi jauh stasiun malioboro,lokasi,negatif
hotel ngumpet masuk gang,lokasi,negatif
makanan harus pilih tidak_dapat semua menu,sarapan,negatif
aroma therapy hotel lekat suasana yogyakarta,fasilitas,positif
akses kamar pakai lift menggunakan kartu sehingga aman,fasilitas,positif
jalan depan padat,lokasi,negatif
staff hotel ramah,pelayanan,positif
gratis refill air_minum,harga,positif
jamu lengkap segar roti kukus lembut,sarapan,positif
tempat_parkir mobil sempit,fasilitas,negatif
kamar luas ada sofa kulkas,kamar,positif
air mandi asin,kamar,negatif
pilihan menu sarapan jangan_diragukan,sarapan,positif
rasa tidak_menggigit,sarapan,negatif
akses menuju lokasi ekstrem medan,lokasi,negatif
pelayanan baik responsif,pelayanan,positif
harga satu juta tidak_cocok dibanding hotel lain harga sama,harga,negatif
tidak_ramah_anak,fasilitas,negatif
tempat sepi mengerikan,lokasi,negatif
kamar mewah ada dapur mini_dapur,kamar,positif
makanan hanya ada prasmanan jumlah rasa tidak_memuaskan,sarapan,negatif
kolam besar tidak_terkalahkan,fasilitas,positif
jalan hanya bisa satu mobil,lokasi,negatif
beberapa tempat jauh dijangkau jalan_kaki,lokasi,negatif
lokasi mudah cari dekat simpang_lima,lokasi,positif
harga promo bukan_harga final masih ada tambahan_biaya,harga,negatif
