sentence_id	token	label
0	Pengalaman	O
0	di	O
0	Hotel	B-HOTEL
0	Santika	I-HOTEL
0	Semarang	B-LOC
0	,	O
0	soto	O
0	gorengan	O
0	mantap	O

1	Saya	O
1	menginap	O
1	di	O
1	Hotel	B-HOTEL
1	Tentrem	I-HOTEL
1	di	O
1	Surabaya	B-LOC
1	,	O
1	kamar_mandi	O
1	kran	O
1	bocor	O
1	kotor	O

2	Ulasan	O
2	tamu	O
2	di	O
2	Hotel	B-HOTEL
2	Santika	I-HOTEL
2	Kuta	B-LOC
2	:	O
2	harga	B-ASPECT
2	lima_ratus_ribu	O
2	tidak_pas	O

3	Ulasan	O
3	tamu	O
3	di	O
3	Hotel	B-HOTEL
3	Ibis	I-HOTEL
3	Malang	B-LOC
3	:	O
3	makanan	B-ASPECT
3	sarapan	I-ASPECT
3	tidak_gambar	O
3	tidak_bumbu	O
3	hambar	O

4	Saya	O
4	menginap	O
4	di	O
4	Hotel	B-HOTEL
4	Grand	I-HOTEL
4	Candi	I-HOTEL
4	di	O
4	Yogyakarta	B-LOC
4	,	O
4	handuk	O
4	gelas	O
4	steril	O
4	dibungkus	O
4	plastik	O

5	Ulasan	O
5	tamu	O
5	di	O
5	Hotel	B-HOTEL
5	Tentrem	I-HOTEL
5	Kuta	B-LOC
5	:	O
5	senang	O
5	hotel	O
5	menyediakan	O
5	fasilitas	B-ASPECT
5	sewa	O
5	motor	O

6	akses	B-ASPECT
6	masuk	O
6	hotel	O
6	sulit	O
6	posisi	O
6	tikungan	O
6	,	O
6	ini	O
6	pendapat	O
6	saya	O
6	soal	O
6	Hotel	B-HOTEL
6	Horison	I-HOTEL
6	di	O
6	Surabaya	B-LOC

7	Pengalaman	O
7	di	O
7	Hotel	B-HOTEL
7	Tentrem	I-HOTEL
7	Jakarta	B-LOC
7	,	O
7	harga	B-ASPECT
7	murah	I-ASPECT
7	hotel	O
7	baik	O

8	interior	O
8	hotel	O
8	minimalis	O
8	manis	O
8	,	O
8	ini	O
8	pendapat	O
8	saya	O
8	soal	O
8	Hotel	B-HOTEL
8	Grand	I-HOTEL
8	Candi	I-HOTEL
8	di	O
8	Bandung	B-LOC

9	Saya	O
9	menginap	O
9	di	O
9	Hotel	B-HOTEL
9	Novotel	I-HOTEL
9	di	O
9	Solo	B-LOC
9	,	O
9	kolam_renang	O
9	luas	O
9	pemandangan	O
9	keren	O

10	Ulasan	O
10	tamu	O
10	di	O
10	Hotel	B-HOTEL
10	Tentrem	I-HOTEL
10	Bali	B-LOC
10	:	O
10	harga	B-ASPECT
10	cocok	O
10	menginap	O
10	istirahat	O

11	Ulasan	O
11	tamu	O
11	di	O
11	Hotel	B-HOTEL
11	Santika	I-HOTEL
11	Malang	B-LOC
11	:	O
11	sarapan	B-ASPECT
11	enak	O
11	tidak_bisa	O
11	berhenti	O
11	makan	O

12	Pengalaman	O
12	di	O
12	Hotel	B-HOTEL
12	Novotel	I-HOTEL
12	Bali	B-LOC
12	,	O
12	hotel	O
12	tidak_nyaman	O

13	Ulasan	O
13	tamu	O
13	di	O
13	Hotel	B-HOTEL
13	Grand	I-HOTEL
13	Candi	I-HOTEL
13	Jakarta	B-LOC
13	:	O
13	shower	O
13	air_panas	O
13	lancar	O

14	Pengalaman	O
14	di	O
14	Hotel	B-HOTEL
14	Gumaya	I-HOTEL
